,Compound Score,Date,Negative Score,Neutral Score,Positive Score,Screen Name,Tweet,Tweets Ago
0,0.0,2017-09-18 13:02:37+00:00,0.0,1.0,0.0,CNN,What are ‘sponge cities’? They may just be China’s answer to flooding in urban areas https://t.co/Ko8OcUeNl8 https://t.co/kiR4du2oGy,1
1,0.2732,2017-09-18 12:58:06+00:00,0.0,0.909,0.091,CNN,"RT @cnni: Here’s a rare look at Mount Paektu, a site sacred to North Koreans, as well as their neighbors to the south https://t.co/lOErZdUW…",2
2,0.0,2017-09-18 12:50:05+00:00,0.0,1.0,0.0,CNN,"With the golf retweet, Trump blunders into the 'Streisand effect,' writes Kara Alaimo for @CNNopinion… https://t.co/x2F8UHLU7U",3
3,-0.2263,2017-09-18 12:40:07+00:00,0.128,0.872,0.0,CNN,"In Bangladesh's overcrowded Rohingya refugee camps, supplies are limited and circumstances are dire… https://t.co/IkFe7EvsL0",4
4,-0.6705,2017-09-18 12:37:08+00:00,0.244,0.756,0.0,CNN,"Both suspects in last week's London train attack were fostered by the same elderly couple, local officials say… https://t.co/M0wIyoRLsK",5
5,0.6096,2017-09-18 12:30:07+00:00,0.0,0.801,0.199,CNN,Julia Louis-Dreyfus now holds the record for most #Emmys won by a single performer for one role… https://t.co/rijWZpXpA0,6
6,0.0,2017-09-18 12:20:06+00:00,0.0,1.0,0.0,CNN,Neil deGrasse Tyson says it might be 'too late' to recover from climate change https://t.co/t3PDSk2ncG,7
7,0.0,2017-09-18 12:17:58+00:00,0.0,1.0,0.0,CNN,"White House lawyer overheard talking about colleagues &amp; Russia probe at DC steakhouse, according to NYTimes report… https://t.co/tlNwffzQls",8
8,0.5719,2017-09-18 12:10:04+00:00,0.0,0.856,0.144,CNN,"Alec Baldwin wins again at the #Emmys -- this time, for his portrayal of Trump on the most recent season of “SNL""… https://t.co/phc3WTybmZ",9
9,-0.296,2017-09-18 12:00:07+00:00,0.115,0.885,0.0,CNN,"Residents of the Lower Florida Keys have been returning home, more than a week after fleeing Hurricane Irma… https://t.co/O3CyyApJmf",10
